trade_date,open,high,low,close,volume
2026-02-03,347.3400,349.0000,337.4745,339.7100,35930599
2026-02-02,336.2200,344.8300,335.6300,343.6900,32006052
2026-01-30,340.0000,340.0000,332.2850,338.0000,31023954
2026-01-29,340.3000,342.2900,326.5400,338.2500,39785612
2026-01-28,336.0600,337.5350,331.9400,336.0100,27434434
2026-01-27,335.3650,337.9100,333.4800,334.5500,19722250
2026-01-26,327.8050,335.8400,327.0000,333.2600,26042120
2026-01-23,332.4850,333.6889,327.4500,327.9300,27279974
2026-01-22,334.4500,335.1500,328.7500,330.5400,26253640
2026-01-21,320.9200,332.4799,319.3518,328.3800,35386603
2026-01-20,320.8700,327.7300,320.4300,322.0000,34808916
2026-01-16,334.4100,334.6500,327.7000,330.0000,40341637
2026-01-15,337.6500,337.6900,330.7400,332.7800,28442406
2026-01-14,335.0600,336.5200,330.4800,335.8400,28525571
2026-01-13,334.9500,340.4900,333.6200,335.9700,33517607
2026-01-12,325.8000,334.0400,325.0000,331.8600,33923928
2026-01-09,327.0900,330.8300,325.8000,328.5700,26214166
2026-01-08,328.9650,330.3196,321.5000,325.4400,31896101
2026-01-07,314.3600,326.1500,314.1900,321.9800,35104425
2026-01-06,316.4000,320.9400,311.7800,314.3400,31212101
2026-01-05,317.6550,319.0150,314.6300,316.5400,30195597
2026-01-02,316.9000,322.5000,310.3300,315.1500,32009385
2025-12-31,312.8450,314.5800,311.4400,313.0000,16377689
2025-12-30,312.5000,316.9500,312.4600,313.8500,17380888
2025-12-29,311.3650,314.0200,310.6200,313.5600,19621777
2025-12-26,314.4800,315.0850,312.2750,313.5100,10899017
2025-12-24,314.7700,315.0800,311.9200,314.0900,10097361
2025-12-23,309.6250,314.9400,309.3200,314.3500,25478670
2025-12-22,309.8750,310.1300,305.3000,309.7800,26429937
2025-12-19,301.7300,307.2500,300.9700,307.1600,59943239
2025-12-18,301.7200,303.9600,299.2308,302.4600,33518048
2025-12-17,308.0100,308.0900,296.1200,296.7200,43930358
2025-12-16,304.9450,310.7700,302.5900,306.5700,30585020
2025-12-15,311.3150,311.4200,304.8800,308.2200,29151889
