trade_date,open,high,low,close,volume
2026-02-03,422.0100,422.0500,408.5600,411.2100,60076532
2026-02-02,430.2350,430.7360,422.2500,423.3700,42219858
2026-01-30,439.1700,439.6000,426.4500,430.2900,58566819
2026-01-29,439.9900,442.5000,421.0200,433.5000,128855323
2026-01-28,483.2100,483.7400,478.0000,481.6300,36875403
2026-01-27,473.7000,482.8700,473.1600,480.5800,29088664
2026-01-26,465.3050,474.2500,462.0000,470.2800,29291235
2026-01-23,451.8700,471.1000,450.5300,465.9500,38000159
2026-01-22,447.6200,452.8400,444.7000,451.1400,25349378
2026-01-21,452.5950,452.6900,438.6800,444.1100,37980510
2026-01-20,451.2150,456.8000,449.2800,454.5200,25973898
2026-01-16,457.8300,463.1900,456.4800,459.8600,34246650
2026-01-15,464.1200,464.2500,455.9000,456.6600,23225839
2026-01-14,466.4600,468.2000,457.1700,459.3800,28184302
2026-01-13,474.6750,475.7799,465.9500,470.6700,28545800
2026-01-12,476.6700,480.9900,475.6803,477.1800,23519895
2026-01-09,474.0600,479.8200,472.2001,479.2800,18491036
2026-01-08,481.2400,482.6600,475.8600,478.1100,18162616
2026-01-07,479.7550,489.7000,477.9500,483.4700,25564196
2026-01-06,473.8000,478.7367,469.7500,478.5100,23037665
2026-01-05,474.0550,476.0700,469.5000,472.8500,25250260
2026-01-02,484.3850,484.6600,470.1600,472.9400,25571567
2025-12-31,487.8400,488.1400,483.3000,483.6200,15601554
2025-12-30,485.9300,489.6800,485.5000,487.4800,13944512
2025-12-29,484.8550,488.3500,484.1800,487.1000,10893408
2025-12-26,486.7050,488.1200,485.9600,487.7100,8842175
2025-12-24,485.6800,489.1625,484.8300,488.0200,5855880
2025-12-23,484.9800,487.8300,484.7400,486.8500,14683582
2025-12-22,486.1200,488.7300,482.6900,484.9200,16963019
2025-12-19,487.3600,487.8500,482.4900,485.9200,70836105
2025-12-18,478.1900,489.6000,477.8900,483.9800,28573545
2025-12-17,476.9050,480.0000,475.0000,476.1200,24527176
2025-12-16,471.9050,477.8900,470.8800,476.3900,20705560
2025-12-15,480.1000,480.7205,472.5200,474.8200,23727694
2025-12-12,479.8200,482.4500,476.3400,478.5300,21248102
2025-12-11,476.6300,486.0300,475.8600,483.4700,24669180
2025-12-10,484.0300,484.2500,475.0800,478.5600,35756229
2025-12-09,489.1000,492.1200,488.5001,492.0200,14092776
2025-12-08,484.8850,492.3000,484.3800,491.0200,20668450
2025-12-05,482.5150,483.4000,478.8801,483.1600,22608710
2025-12-04,479.7600,481.3220,476.4900,480.8400,22318155
2025-12-03,476.3200,484.2400,475.2000,477.7300,34615102
2025-12-02,486.7150,493.4999,486.3200,490.0000,19562722
2025-12-01,488.4350,489.8599,484.6475,486.7400,23963993
2025-11-28,487.5950,492.6300,486.6500,492.0100,14386730
2025-11-26,486.3100,488.3100,481.2000,485.5000,25709079
2025-11-25,474.0700,479.1500,464.8900,476.9900,28019793
2025-11-24,475.0000,476.9000,468.0200,474.0000,34421046
2025-11-21,478.5000,478.9200,468.2700,472.1200,31769248
2025-11-20,492.7100,493.5700,475.5000,478.4300,26802542
2025-11-19,490.1000,495.1872,482.8300,487.1200,23245314
2025-11-18,495.3650,502.9800,486.7800,493.7900,33815114
2025-11-17,508.4500,512.1200,504.9100,507.4900,19092752
2025-11-14,498.2300,511.6000,497.4400,510.1800,28505746
2025-11-13,510.3100,513.5000,501.2900,503.2900,25273114
2025-11-12,509.3550,511.6700,499.1201,511.1400,26574851
2025-11-11,504.8000,509.6000,502.3488,508.6800,17980020
2025-11-10,500.0350,506.8500,498.8000,506.0000,26101480
2025-11-07,496.9450,499.3770,493.2500,496.8200,24019764
2025-11-06,505.6600,505.7000,495.8100,497.1000,27406496
2025-11-05,513.3000,514.8300,506.5750,507.1600,22883851
2025-11-04,511.7600,515.5500,507.8400,514.3300,20958663
2025-11-03,519.8050,524.9600,514.5900,517.0300,22374742
2025-10-31,528.8750,529.3200,515.1000,517.8100,34006424
2025-10-30,530.4800,534.9700,522.1200,525.7600,41023088
2025-10-29,544.9400,546.2700,536.7287,541.5500,36023004
2025-10-28,550.0000,553.7200,540.7700,542.0700,29986683
2025-10-27,531.7800,534.5800,529.0100,531.5200,18734716
2025-10-24,522.7900,525.3450,520.7100,523.6100,15532360
2025-10-23,522.4600,523.9500,518.6100,520.5600,14023532
2025-10-22,521.1500,525.2300,517.7100,520.5400,18962694
2025-10-21,517.5000,518.6900,513.0400,517.6600,15586204
2025-10-20,514.6100,518.7000,513.4300,516.7900,14665620
2025-10-17,509.0400,515.4800,507.3100,513.5800,19867765
2025-10-16,512.5800,516.8500,508.1300,511.6100,15559565
2025-10-15,514.9550,517.1900,510.0000,513.4300,14694654
2025-10-14,510.2250,515.2820,506.0000,513.5700,14684300
2025-10-13,516.4100,516.4100,511.6800,514.0500,14284238
2025-10-10,519.6400,523.5800,509.6300,510.9600,24133840
2025-10-09,522.3350,524.3250,517.4000,522.4000,18343602
2025-10-08,523.2800,526.9500,523.0900,524.8500,13363447
2025-10-07,528.2850,529.8000,521.4400,523.9800,14615208
2025-10-06,518.6100,531.0300,518.2000,528.5700,21388581
2025-10-03,517.1000,520.4900,515.0000,517.3500,15112321
2025-10-02,517.6400,521.6000,510.6791,515.7400,21222886
2025-10-01,514.8000,520.5050,511.6900,519.7100,22632336
2025-09-30,513.2400,518.1600,509.6600,517.9500,19728229
2025-09-29,511.5000,516.8450,508.8800,514.6000,17617775
2025-09-26,510.0600,513.9400,506.6200,511.4600,16213129
2025-09-25,508.3000,510.0100,505.0400,507.0300,15786468
2025-09-24,510.3800,512.4800,506.9200,510.1500,13533711
2025-09-23,513.8000,514.5899,507.3100,509.2300,19799580
2025-09-22,515.5900,517.7400,512.5450,514.4500,20009314
